小節,拍數(onset),調性,和弦名稱,和弦編號,備註
1,0,,D:maj,3,
2,0,,D:maj,3,
3,0,,G:maj,8,
3,1,,D:maj,3,
3,2,,G:maj,8,
3,3,,D:maj,3,
4,0,,A:7,22,
5,0,,D:maj,3,
6,0,,D:maj,3,
7,0,,G:maj,8,
7,1,,D:maj,3,
7,2,,G:maj,8,
7,3,,D:maj,3,
8,0,,A:7,22,
8,2,,D:maj,3,
9,0,,D:maj,3,
10,0,,D:maj,3,
11,0,,D:maj,3,
12,0,,D:maj,3,
13,0,,B:min,36,
13,2,,D:maj,3,
13,3,,C#:dim,38,
14,0,,B:min,36,
14,2,,D:maj,3,
14,3,,C#:dim,38,
15,0,,D:maj,3,
16,0,,A:maj,10,
17,0,,A:maj,10,
17,2,,D:maj,3,
18,0,,E:7,17,
18,2,,F#:min,31,
19,0,,B:min,36,
20,0,,B:min,36,
21,0,,B:min,36,
21,2,,B:7,24,
22,0,,E:7,17,
23,0,,A:maj,10,
24,0,,E:7,17,
25,0,,A:maj,10,
26,0,,B:min,36,
27,0,,E:7,17,
27,2,,A:maj,10,
28,0,,E:7,17,
28,1,,A:maj,10,
28,2,,E:7,17,
28,3,,A:maj,10,
29,0,,E:7,17,
29,1,,A:min,34,
29,2,,E:7,17,
29,3,,A:min,34,
30,0,,A#:maj,11,
31,0,,A#:maj,11,
32,0,,A:dim,46,
32,1,,D#:dim,40,
32,2,,A:dim,46,
32,3,,D#:dim,40,
33,0,,A:maj,10,
34,0,,E:7,17,
35,0,,A:maj,10,
35,2,,C#:min,26,
36,0,,A:maj,10,
36,2,,B:min,36,
36,3,,E:7,17,
37,0,,F#:min,31,
38,0,,B:min,36,
38,1,,A:maj,10,
38,2,,B:min,36,
38,3,,E:7,17,
39,0,,A:maj,10,
40,0,,A:maj,10,
41,0,,A:maj,10,
42,0,,A:7,22,
42,3,,E:dim,41,
43,0,,B:min,36,
44,0,,B:7,24,
45,0,,E:7,17,
46,0,,A:7,22,
47,0,,F#:7,19,
47,1,,D:maj,3,
47,2,,E:7,17,
47,3,,F#:7,19,
48,0,,E:7,17,
48,2,,C#:dim,38,
48,3,,D:7,15,
49,0,,B:7,24,
49,2,,A:7,22,
49,3,,D#:dim,40,
50,0,,F#:7,19,
50,3,,B:min,36,
51,0,,F#:maj,7,
51,1,,B:min,36,
51,2,,F#:7,19,
51,3,,B:min,36,
52,0,,F#:maj,7,
52,1,,B:min,36,
52,2,,F#:maj,7,
52,3,,B:min,36,
53,0,,A:7,22,
53,2,,B:min,36,
54,0,,A:7,22,
54,2,,B:min,36,
55,0,,C:maj,1,
56,0,,B:dim,48,
56,1,,D:dim,39,
56,2,,F:dim,42,
57,0,,B:min,36,
58,0,,F#:7,19,
59,0,,B:7,24,
59,3,,E:min,29,
60,0,,A:7,22,
61,0,,D:maj,3,
62,0,,D:maj,3,
63,0,,G:maj,8,
63,1,,D:maj,3,
63,2,,G:maj,8,
63,3,,D:maj,3,
64,0,,A:7,22,
65,0,,D:maj,3,
66,0,,D:maj,3,
67,0,,D#:dim,40,
67,1,,A:7,22,
67,3,,D:maj,3,
68,0,,D#:dim,40,
68,1,,A:7,22,
68,3,,D:maj,3,
69,0,,D#:dim,40,
69,1,,A:7,22,
69,3,,D:maj,3,
70,0,,B:7,24,
71,0,,E:min,29,
71,3,,E:7,17,
72,0,,F#:min,31,
73,0,,D#:dim,40,
74,0,,D:maj,3,
75,0,,D:maj,3,
76,0,,B:min,36,
76,2,,D:maj,3,
76,3,,C#:dim,38,
77,0,,B:min,36,
77,2,,D:maj,3,
78,0,,B:min,36,
78,3,,G#:dim,45,
79,0,,A:maj,10,
80,0,,D:maj,3,
80,2,,C#:dim,38,
81,0,,A:7,22,
81,2,,D:maj,3,
82,0,,E:min,29,
83,0,,E:min,29,
84,0,,E:min,29,
84,2,,E:7,17,
85,0,,A:7,22,
86,0,,D:maj,3,
87,0,,A:7,22,
88,0,,D:maj,3,
89,0,,E:min,29,
90,0,,A:7,22,
90,2,,F#:7,19,
91,0,,A:7,22,
91,1,,D:maj,3,
91,2,,A:7,22,
91,3,,D:maj,3,
92,0,,A:7,22,
92,1,,D:min,27,
92,2,,A:7,22,
92,3,,D:min,27,
93,0,,A#:maj,11,
94,0,,A#:maj,11,
95,0,,D:dim,39,
95,1,,G#:dim,45,
95,2,,D:dim,39,
95,3,,G#:dim,45,
96,0,,D:maj,3,
97,0,,A:7,22,
98,0,,B:min,36,
99,0,,E:min,29,
99,1,,D:maj,3,
99,2,,E:min,29,
99,3,,A:7,22,
100,0,,G:maj,8,
101,0,,E:min,29,
101,1,,D:maj,3,
101,2,,E:min,29,
101,3,,A:7,22,
102,0,,D:maj,3,
103,0,,D:maj,3,
