小節,拍數(onset),調性,和弦名稱,和弦編號,備註
1,0,,C:maj,1,
2,0,,C:maj,1,
3,0,,A:7,22,
4,0,,G:7,20,
5,0,,C:maj,1,
6,0,,D:min,27,
7,0,,D:min,27,
7,2,,C:maj,1,
7,3,,G:7,20,
8,0,,C:maj,1,
9,0,,C:maj,1,
10,0,,A:7,22,
11,0,,G:7,20,
12,0,,C:maj,1,
13,0,,G:dim,44,
13,2,,D:min,27,
14,0,,E:min,29,
14,2,,F:maj,6,
15,0,,F:maj,6,
16,0,,C:maj,1,
17,0,,D:min,27,
17,2,,C:maj,1,
17,3,,G:maj,8,
18,0,,F:maj,6,
19,0,,C:maj,1,
20,0,,F:maj,6,
20,1,,D:min,27,
20,2,,C:maj,1,
20,3,,G:maj,8,
21,0,,C:maj,1,
22,0,,C:maj,1,
23,0,,G:maj,8,
23,3,,B:min,36,
24,0,,G:maj,8,
25,0,,D:7,15,
26,0,,D:7,15,
27,0,,G:maj,8,
27,1,,D:7,15,
28,0,,G:maj,8,
28,1,,B:min,36,
28,2,,D:7,15,
29,0,,G:maj,8,
30,0,,C:maj,1,
31,0,,F#:dim,43,
32,0,,D:maj,3,
33,0,,B:X,72,
34,0,,D:7,15,
35,0,,G:maj,8,
36,0,,D:7,15,
37,0,,G:maj,8,
37,2,,D:7,15,
38,0,,G:maj,8,
38,1,,A:7,22,
38,2,,D:7,15,
39,0,,G:maj,8,
40,0,,D:7,15,
41,0,,G:maj,8,
41,2,,D:7,15,
42,0,,G:maj,8,
42,1,,A:7,22,
42,2,,D:7,15,
43,0,,G:maj,8,
44,0,,C:maj,1,
45,0,,G:maj,8,
45,2,,D:7,15,
46,0,,G:maj,8,
47,0,,C:maj,1,
48,0,,G:maj,8,
48,1,,C:maj,1,
48,2,,G:maj,8,
48,3,,C:maj,1,
49,0,,G:maj,8,
49,1,,C:maj,1,
49,2,,G:maj,8,
49,3,,C:maj,1,
50,0,,F:dim,42,
51,0,,E:7,17,
52,0,,G:maj,8,
53,0,,F:maj,6,
54,0,,G:maj,8,
54,2,,D:7,15,
55,0,,C:maj,1,
55,3,,D:maj,3,
56,0,,G:maj,8,
56,2,,D:7,15,
57,0,,G:maj,8,
57,1,,A:min,34,
57,3,,D:maj,3,
58,0,,G:maj,8,
59,0,,G:min,32,
60,0,,C:7,13,
61,0,,G:min,32,
62,0,,G:min,32,
63,0,,G:min,32,
63,3,,E:dim,41,
64,0,,A:7,22,
65,0,,G:min,32,
65,3,,E:dim,41,
66,0,,A:7,22,
67,0,,D:min,27,
68,0,,G:7,20,
69,0,,D:min,27,
69,3,,B:dim,48,
70,0,,E:7,17,
71,0,,D:min,27,
72,0,,E:7,17,
73,0,,A:min,34,
74,0,,B:7,24,
75,0,,G:min,32,
75,2,,G:dim,44,
76,0,,C#:dim,38,
76,2,,D:maj,3,
77,0,,F:dim,42,
77,2,,C:maj,1,
78,0,,G#:dim,45,
78,2,,A:min,34,
79,0,,D#:dim,40,
80,0,,D#:dim,40,
81,0,,A:min,34,
81,3,,E:7,17,
82,0,,A:min,34,
82,2,,E:7,17,
83,0,,D:min,27,
83,3,,E:maj,5,
84,0,,A:min,34,
84,2,,E:7,17,
85,0,,A:min,34,
85,1,,B:dim,48,
85,3,,E:maj,5,
