小節,拍數(onset),調性,和弦名稱,和弦編號,備註
1,0,,C:maj,1,
2,0,,G:7,20,
2,2,,C:maj,1,
3,0,,F:maj,6,
3,2,,C:maj,1,
4,0,,G:7,20,
4,2,,C:maj,1,
5,0,,F:maj,6,
6,0,,C:maj,1,
7,0,,G:7,20,
8,0,,C:maj,1,
9,0,,D:min,27,
10,0,,F:maj,6,
10,3,,D:7,15,
11,0,,G:maj,8,
11,1,,C:maj,1,
11,2,,G:maj,8,
11,3,,C:maj,1,
12,0,,G:maj,8,
13,0,,D:7,15,
14,0,,G:maj,8,
15,0,,G:maj,8,
15,1,,D:7,15,
16,0,,G:maj,8,
17,0,,G:maj,8,
17,1,,D:7,15,
18,0,,G:maj,8,
18,2,,C:maj,1,
19,0,,F#:dim,43,
19,2,,B:min,36,
20,0,,E:min,29,
20,2,,A:min,34,
21,0,,D:7,15,
21,2,,G:maj,8,
22,0,,A:min,34,
23,0,,A:min,34,
24,0,,G:maj,8,
25,0,,D:7,15,
26,0,,G:maj,8,
26,3,,D:7,15,
27,0,,G:maj,8,
27,3,,D:7,15,
28,0,,G:maj,8,
29,0,,G:min,32,
29,3,,D:7,15,
30,0,,G:min,32,
30,3,,D:7,15,
31,0,,C:7,13,
32,0,,A:7,22,
33,0,,D:min,27,
33,3,,A:7,22,
34,0,,D:min,27,
34,3,,A:7,22,
35,0,,G:7,20,
36,0,,E:7,17,
37,0,,A:min,34,
37,2,,D:min,27,
38,0,,G:7,20,
38,2,,C:maj,1,
39,0,,F:maj,6,
39,2,,B:dim,48,
40,0,,E:7,17,
40,2,,A:min,34,
41,0,,A#:maj,11,
41,2,,C:7,13,
42,0,,F:maj,6,
43,0,,C:7,13,
43,2,,F:maj,6,
44,0,,A#:maj,11,
44,2,,F:maj,6,
45,0,,C:7,13,
45,2,,F:maj,6,
46,0,,A#:maj,11,
47,0,,F:maj,6,
48,0,,C:7,13,
49,0,,F:maj,6,
50,0,,F:maj,6,
51,0,,C:maj,1,
52,0,,F:maj,6,
52,3,,G:7,20,
53,0,,C:maj,1,
54,0,,D:min,27,
55,0,,F:maj,6,
55,3,,D:7,15,
56,0,,G:maj,8,
56,1,,C:maj,1,
56,2,,G:maj,8,
56,3,,C:maj,1,
57,0,,G:maj,8,
58,0,,G:7,20,
59,0,,C:maj,1,
60,0,,C:maj,1,
60,1,,G:7,20,
61,0,,C:maj,1,
62,0,,C:maj,1,
62,1,,G:7,20,
63,0,,C:maj,1,
63,2,,F:maj,6,
64,0,,B:dim,48,
64,2,,E:min,29,
65,0,,A:min,34,
65,2,,D:min,27,
66,0,,G:7,20,
66,2,,C:maj,1,
67,0,,D:min,27,
68,0,,A:dim,46,
69,0,,C:maj,1,
70,0,,G:7,20,
71,0,,C:maj,1,
71,3,,G:7,20,
72,0,,C:maj,1,
72,3,,G:7,20,
73,0,,C:maj,1,
