0	 0	 1 C :maj
5.000000e-01	 5.000000e-01	 2 C :maj
2	 2	 3 F :maj
2.125000e+00	 2.125000e+00	 3 A :min
3.500000e+00	 3.500000e+00	 4 G :7
5	 5	 5 C :maj
6.500000e+00	 6.500000e+00	 6 G :7
8	 8	 7 C :maj
9.500000e+00	 9.500000e+00	 8 G :maj
11	 11	 9 D :7
1.250000e+01	 1.250000e+01	 10 G :maj
14	 14	 11 D :7
1.550000e+01	 1.550000e+01	 12 G :maj
17	 17	 13 A :min
1.850000e+01	 1.850000e+01	 14 G :maj
1.875000e+01	 1.875000e+01	 14 C :maj
1.950000e+01	 1.950000e+01	 14 D :maj
20	 20	 15 C :maj
21	 21	 16 D :maj
2.150000e+01	 2.150000e+01	 17 B :¢X
23	 23	 18 C :maj
2.450000e+01	 2.450000e+01	 19 G :7
26	 26	 20 C :maj
2.750000e+01	 2.750000e+01	 21 G :7
29	 29	 22 C :maj
2.950000e+01	 2.950000e+01	 22 G :maj
3.050000e+01	 3.050000e+01	 23 C :maj
3.125000e+01	 3.125000e+01	 23 A :7
32	 32	 24 C :maj
3.350000e+01	 3.350000e+01	 25 C :maj
3.425000e+01	 3.425000e+01	 25 A :7
35	 35	 26 A :min
3.650000e+01	 3.650000e+01	 27 G :7
38	 38	 28 C :maj
3.950000e+01	 3.950000e+01	 29 G :7
41	 41	 30 C :maj
